"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.08.2022","153,800","154,200","155,000","150,400","72,73K","-0,32%"
"21.08.2022","154,300","148,800","157,500","148,800","84,95K","3,70%"
"20.08.2022","148,800","142,100","149,800","142,100","68,95K","4,49%"
"19.08.2022","142,400","161,100","161,100","141,900","186,35K","-11,55%"
"18.08.2022","161,000","168,700","170,700","159,000","130,04K","-4,51%"
"17.08.2022","168,600","169,100","170,500","158,600","154,94K","-0,35%"
"16.08.2022","169,200","163,100","174,100","161,800","111,49K","3,74%"
"15.08.2022","163,100","164,100","168,500","161,400","94,72K","-0,61%"
"14.08.2022","164,100","165,000","168,400","162,300","44,84K","-0,61%"
"13.08.2022","165,100","165,100","167,500","163,400","73,79K","0,00%"
"12.08.2022","165,100","158,500","165,800","156,100","81,71K","4,16%"
"11.08.2022","158,500","167,400","168,500","156,300","152,11K","-5,32%"
"10.08.2022","167,400","157,800","169,600","154,500","109,68K","6,15%"
"09.08.2022","157,700","166,900","171,600","155,300","92,26K","-5,68%"
"08.08.2022","167,200","164,600","169,900","162,200","86,80K","1,52%"
"07.08.2022","164,700","160,700","170,900","158,300","115,69K","2,55%"
"06.08.2022","160,600","161,600","165,100","160,200","50,19K","-0,62%"
"05.08.2022","161,600","159,400","162,500","156,600","62,87K","1,38%"
"04.08.2022","159,400","156,600","163,100","156,200","67,99K","1,72%"
"03.08.2022","156,700","156,900","164,300","155,100","82,59K","0,00%"
"02.08.2022","156,700","160,700","161,800","153,900","94,61K","-2,55%"
"01.08.2022","160,800","154,600","161,400","152,200","66,68K","3,88%"
"31.07.2022","154,800","155,800","159,700","153,800","51,07K","-0,71%"
"30.07.2022","155,900","160,100","163,700","154,700","66,53K","-2,50%"
"29.07.2022","159,900","162,500","166,300","159,000","86,70K","-1,54%"
"28.07.2022","162,400","161,500","166,500","157,000","105,04K","0,50%"
"27.07.2022","161,600","151,000","162,900","150,100","125,82K","7,02%"
"26.07.2022","151,000","143,400","151,300","137,900","123,72K","5,08%"
"25.07.2022","143,700","151,400","152,200","143,100","68,08K","-5,09%"
"24.07.2022","151,400","146,400","154,000","146,400","53,55K","3,49%"
"23.07.2022","146,300","149,000","151,300","142,400","68,45K","-1,81%"
"22.07.2022","149,000","151,100","153,400","148,300","111,20K","-1,39%"
"21.07.2022","151,100","151,700","152,800","146,500","170,27K","-0,20%"
"20.07.2022","151,400","146,300","153,300","143,100","149,58K","3,49%"
"19.07.2022","146,300","146,900","148,900","139,900","150,81K","-0,54%"
"18.07.2022","147,100","136,000","148,700","136,000","117,42K","8,16%"
"17.07.2022","136,000","138,900","142,200","134,500","68,74K","-2,09%"
"16.07.2022","138,900","139,000","144,700","135,600","111,84K","0,07%"
"15.07.2022","138,800","134,000","141,400","132,600","121,15K","3,58%"
"14.07.2022","134,000","124,300","134,900","123,300","74,73K","7,80%"
"13.07.2022","124,300","123,100","125,600","117,700","73,63K","0,97%"
"12.07.2022","123,100","126,900","129,400","123,000","77,24K","-3,07%"
"11.07.2022","127,000","129,700","132,900","125,700","167,06K","-1,55%"
"10.07.2022","129,000","127,200","129,300","120,700","78,78K","1,42%"
"09.07.2022","127,200","125,400","129,100","125,000","52,30K","1,52%"
"08.07.2022","125,300","130,500","133,800","125,300","79,66K","-4,06%"
"07.07.2022","130,600","125,500","131,500","125,300","91,73K","3,98%"
"06.07.2022","125,600","122,700","126,800","121,000","75,81K","2,53%"
"05.07.2022","122,500","124,000","125,300","118,700","91,63K","-1,21%"
"04.07.2022","124,000","116,600","124,300","115,000","82,90K","6,44%"
